"color_id","name","hex","group_id","subgroup_id","solar_term_c","solar_term_e","CMYK_C","CMYK_M","CMYK_Y","CMYK_K","RGB_R","RGB_G","RGB_B","HSV_H","HSV_S","HSV_V","LAB_L","LAB_C","LAB_H","LUV_L","LUV_C","LUV_H","HSL_H","HSL_S","HSL_L"
1,"黄白游","#FFF799",1,1,"立春","Beginning_of_Spring",0,0,50,0,1,0.930110858375424,0.318546778125092,55.2941176470588,0.4,1,96.0315300789703,47.2353137560468,102.613519371896,96.0315300789703,64.3017888494712,81.3438330052638,55.2941176470588,1,0.8
2,"松花","#FFEE6F",1,2,"立春","Beginning_of_Spring",0,5,65,0,1,0.854992608124234,0.15896083506088,52.9166666666667,0.564705882352941,1,93.2590423881095,63.0996395460635,98.7065473526964,93.2590423881095,80.7604158573741,77.8064085167635,52.9166666666667,1,0.717647058823529
3,"缃叶","#ECD452",1,3,"立春","Beginning_of_Spring",10,15,75,5,0.83879901174074,0.658374817279448,0.0843762115441488,50.6493506493507,0.652542372881356,0.925490196078431,84.7571783565682,65.3007031712809,95.4388639800043,84.7571783565682,80.4864787940153,74.0448352209304,50.6493506493506,0.802083333333333,0.623529411764706
4,"苍黄","#B6A014",1,4,"立春","Beginning_of_Spring",35,35,100,0,0.467783796112159,0.351532599500439,0.00699541018726539,51.8518518518518,0.89010989010989,0.713725490196078,65.8568160322503,66.248591672688,94.3554397848154,65.8568160322503,71.8578613210715,73.2579767615068,51.8518518518519,0.801980198019802,0.396078431372549
5,"天缥","#D5EBE1",2,1,"立春","Beginning_of_Spring",20,0,15,0,0.665387298282272,0.830769876774655,0.752942216776078,152.727272727273,0.0936170212765957,0.92156862745098,91.2334341519768,9.40973753750185,165.344289722864,91.2334341519768,12.6447579623344,155.512457670349,152.727272727273,0.354838709677419,0.87843137254902
6,"沧浪","#B1D5C8",2,2,"立春","Beginning_of_Spring",35,5,25,0,0.439657173840919,0.665387298282272,0.577580440429651,158.333333333333,0.169014084507042,0.835294117647059,82.4348410188862,14.6506611261887,170.275700583516,82.4348410188862,19.5662522017776,161.518124277907,158.333333333333,0.3,0.764705882352941
7,"苍筤","#99BCAC",2,3,"立春","Beginning_of_Spring",45,15,35,0,0.318546778125092,0.502886458032569,0.412542613483904,152.571428571429,0.186170212765958,0.737254901960784,73.3610496477325,15.5989285987762,164.357306126723,73.3610496477325,19.958975598122,154.154710957123,152.571428571429,0.207100591715976,0.668627450980392
8,"缥碧","#80A492",2,4,"立春","Beginning_of_Spring",55,25,45,0,0.215860500113899,0.371237680474149,0.287440837726917,150,0.219512195121951,0.643137254901961,64.3342911206318,16.9695106625131,161.728669451149,64.3342911206318,20.9602502527584,150.811572214938,150,0.165137614678899,0.572549019607843
9,"流黄","#8B7042",3,1,"立春","Beginning_of_Spring",50,55,80,10,0.258182852921596,0.162029375639111,0.0544802764424424,37.8082191780822,0.525179856115108,0.545098039215686,48.8489296918915,29.7806350145727,81.2634358898381,48.8489296918915,38.8997069100972,57.71702777594,37.8082191780822,0.35609756097561,0.401960784313726
10,"栗壳","#775039",3,2,"立春","Beginning_of_Spring",55,70,80,20,0.184474994500441,0.0802198203144683,0.0409151969068532,22.258064516129,0.521008403361345,0.466666666666667,37.7624989161399,24.2406534010963,56.1354351621309,37.7624989161399,34.2099355866868,35.3499413444572,22.258064516129,0.352272727272727,0.345098039215686
